Date,0,1,2,3,4,5,6,7,8,9
2013-07-28 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-29 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-30 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-07-31 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-01 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-02 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-03 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-04 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-05 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-06 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
2013-08-07 00:00:00.000,BTCAEUR,flare-networks,eos,PORTALUSDT,AEVOUSDT,STMXBUSD,EGLDBUSD,BLURUSDC,TKOUSDT,SNTUSDT
